sender,volume,transfers,avg_value
TRVgi1HYjN4eJWekx6y724yJrSg8JGP7HX,104606.22169999997,67,1561.2868910447755
TNXwMUJAAQG2k2RC35CFUZFf7fWE6U5aAt,104332.0,23,4536.173913043478
TDrNPyfF4jeyeDhoT9m6qwJPgdAnfJ31p1,104205.0,11,9473.181818181818
TGJbmFJoTpZrXa9ovDgxs6E4Jfqpc2SPFf,103392.0,1,103392.0
TNrB4zJTjGf2N9ifwNR3XkC6zDVTabgYCp,102225.0,1,102225.0
TF6FPrzgEMxpMZ54JQSukKRZ4kyAyazPjn,101705.0,1,101705.0
TYM8rBY2p2wdi8EHhr7qmaNGBbcwdM9cUE,101244.920833,3,33748.30694433333
TSvJJoYv6GhZpUykrAF4yke3XLiNi6XPnu,100678.0,5,20135.6
TZBrPsrqSqYxKSiuPUz7r4LdBokndqAr5y,100209.0062,2,50104.5031
TDWfWdcYG9napDsT23DtsH3Qr2vGUVZyEL,100000.0,1,100000.0
TUspVtqyK8cgA98erT6MqS1EnRHa9SLQMi,100000.0,2,50000.0
TEwis1yss5k6wtrmD998HDBHVEUuM4K5fX,100000.0,1,100000.0
TXmsJjxK4uHQutzkTwqydJUJywRGQBdPsA,100000.0,1,100000.0
TNSgQmJjzocy5TGdR9YZT3Q1KdjdbXPJCu,100000.0,1,100000.0
TJxNGEnGwXsVMmcKSBZXNYUz5k3GXnwzBf,100000.0,1,100000.0
TWNkVb8ny1PjNHN44L4xunHzmNHpYLbVm5,100000.0,1,100000.0
TK84SpL4jZy9xTikYKhEvUmj7pUXrbVgM1,100000.0,1,100000.0
TKoneB8ehLK5c8c9Zm49Y3jrVwVFQidDdU,100000.0,1,100000.0
THWDSmFpNzfs83vwPyNDVTZmU3HfNdE69x,100000.0,1,100000.0
TKmekXA3XkGvLUFXddg87hjAiex8YWzoeC,100000.0,1,100000.0
TL8XquD2WTzcUmvBVzzgoPB5t9uojQqqAh,96281.0,2,48140.5
TFmLVpDAP9ppffypzRq1hgaPFYBPABFRsW,95726.72123,1,95726.72123
TAxu52H3hKDGivhU9XXU4jxC5P8Kt3NbiT,95726.0,2,47863.0
TCAb59YXLjFWVCJWG4fDdvos41evdA6P6b,94968.0,5,18993.6
TJtEySoVuAkk3xwXghLgrUFVKSMq9JkE18,94686.384945,42,2254.437736785714
TRxKwDzn9L8JQ3LpDZbHmT1zkimbBGmoth,91283.534093,17,5369.619652529412
TU7oXiYj2j5sjxSUJLr1tL91Z4pHu6BqKd,90300.0,12,7525.0
TLrK2mAxtfXiNMd9uvEWM3yZqpaLDV7Rj7,90000.0,2,45000.0
TQACFBkMeciVGxkKSzhMnzQmk5U8RmmxW9,89594.75,7,12799.25
TMzxCvdt9rhdPvBNCVunD5VbafgSV7PkQG,88968.76934999996,57,1560.8556026315782
TPuhG4dCUyRqaq9DnmCt1Geckr5GgzTo9E,88155.982368,1,88155.982368
TDBd54uvKNXMrC8qjxGbMK4ivqA5V8QqTF,87659.9,8,10957.4875
TGcLYysWrhLqQLWgdZoKzbnwrjSUNZ6V6r,87500.0,28,3125.0
