#,Account,Amount,Value,Percentage,Last Txn Time (UTC)
86,TTzY761wSrHMGYo1ysHpguNkh2t6geDnsp,25916916.253626,25922149.35,0.0004,2023-11-23 08:48:27
87,TVPQLkVXvN7MduHWhD4Q7rGVyRdDu5R8F6,25209455.632831,25214545.88,0.0004,2024-05-11 03:28:36
88,TC4wN22qwDvNDv6y3sBxUMFZQPhYojgQUE,25134970.486925,25140045.69,0.0004,2024-09-12 11:48:30
89,TGqi3kaPefDeys6vv3iP892PXK2sDLc1BM,25000070.746387,25005118.71,0.0004,2024-09-18 20:08:42
90,TEiwQ6EyiiZG1FbaQi5kg47sfaMzsq7mfv,25000000.000000,25005047.95,0.0004,2023-10-28 08:28:48
91,TL2yHsUCGCtNDc72nr3VWzKmQoHP8Dubfa,24995000.000000,25000046.94,0.0004,2024-09-11 10:27:54
92,TKbrcSXvaxyzvQqEYCqcDcSRq7XQev7fv1,24806612.485502,24811621.39,0.0004,2024-07-09 17:51:21
93,TG5PGoaP1zdwcH2tbkMPqU4LPuxzZfoeRi,24439945.898312,24444880.77,0.0003,2024-06-13 09:26:45
94,TNfxWNw1wngrfdn59HZgRi3NBkvnZ2BZ1o,24315884.591006,24320794.41,0.0003,2024-09-20 08:57:57
95,TFdeGwt2MLtM5yGrY7Fei7S5vxq88KijiE,24000000.080000,24004846.12,0.0003,2024-09-21 10:43:57
96,TA7xUydq3K5xnxSftQMEMx49DQTbhEjkLS,23992005.210493,23996849.63,0.0003,2024-09-20 19:20:27
97,TEG2nbCCveVy8YYrNL6xCGdpRRyrE9TemB,23966735.153837,23971574.47,0.0003,2024-09-03 15:08:45
98,TPmxdfvspZfRj9ZkBVUfAvk3PbhoGAAWWs,23861430.467942,23866248.52,0.0003,2024-07-21 02:44:36
99,TZEBUCrVyAFUmaAupPN5bHJ6rN65DCPciE,23300000.091080,23304704.78,0.0003,2024-09-14 01:00:42
100,TMauqkA78pfysSTn8jD1dvEUkjme2gEEdn,23051046.795372,23055701.22,0.0003,2024-09-18 02:54:54
101,TJrTLGwExaxrwtxVrz4FaYM9TJ4p7jTMVJ,23000011.070122,23004655.19,0.0003,2024-07-04 14:23:30
102,TD6VUZ5d31C3gwDaosUt9YFeHUzDD5rpaj,23000000.849439,23004644.97,0.0003,2024-09-14 01:50:57
